level,name,value
46,strength,61
46,vitality,53
46,magic,58
46,spirit,65
46,dexterity,41
47,strength,63
47,vitality,53
47,magic,61
47,spirit,66
47,dexterity,41
48,strength,64
48,vitality,54
48,magic,63
48,spirit,66
48,dexterity,42
49,strength,64
49,vitality,54
49,magic,63
49,spirit,66
49,dexterity,44
50,strength,66
50,vitality,54
50,magic,63
50,spirit,66
50,dexterity,44
51,strength,67
51,vitality,56
51,magic,64
51,spirit,67
51,dexterity,45
52,strength,68
52,vitality,57
52,magic,66
52,spirit,67
52,dexterity,46
53,strength,68
53,vitality,59
53,magic,66
53,spirit,69
53,dexterity,46
54,strength,69
54,vitality,60
54,magic,67
54,spirit,71
54,dexterity,46
55,strength,71
55,vitality,60
55,magic,69
55,spirit,73
55,dexterity,47
56,strength,72
56,vitality,60
56,magic,69
56,spirit,74
56,dexterity,48
57,strength,74
57,vitality,62
57,magic,70
57,spirit,75
57,dexterity,48
58,strength,74
58,vitality,62
58,magic,70
58,spirit,75
58,dexterity,48
59,strength,75
59,vitality,63
59,magic,70
59,spirit,76
59,dexterity,49
60,strength,76
60,vitality,63
60,magic,72
60,spirit,77
60,dexterity,50
61,strength,76
61,vitality,64
61,magic,72
61,spirit,78
61,dexterity,50
62,strength,76
62,vitality,65
62,magic,73
62,spirit,78
62,dexterity,50
63,strength,76
63,vitality,66
63,magic,74
63,spirit,78
63,dexterity,51
64,strength,77
64,vitality,66
64,magic,77
64,spirit,78
64,dexterity,51
65,strength,78
65,vitality,66
65,magic,78
65,spirit,79
65,dexterity,51
66,strength,79
66,vitality,67
66,magic,78
66,spirit,81
66,dexterity,52
67,strength,79
67,vitality,69
67,magic,78
67,spirit,81
67,dexterity,52
68,strength,79
68,vitality,70
68,magic,78
68,spirit,81
68,dexterity,52
69,strength,80
69,vitality,71
69,magic,78
69,spirit,81
69,dexterity,52
70,strength,82
70,vitality,71
70,magic,81
70,spirit,83
70,dexterity,53
71,strength,85
71,vitality,71
71,magic,81
71,spirit,84
71,dexterity,53
72,strength,88
72,vitality,71
72,magic,82
72,spirit,85
72,dexterity,53
73,strength,88
73,vitality,71
73,magic,84
73,spirit,85
73,dexterity,54
74,strength,89
74,vitality,71
74,magic,84
74,spirit,86
74,dexterity,54
75,strength,89
75,vitality,71
75,magic,86
75,spirit,86
75,dexterity,54
76,strength,91
76,vitality,72
76,magic,88
76,spirit,86
76,dexterity,55
77,strength,94
77,vitality,74
77,magic,90
77,spirit,86
77,dexterity,55
78,strength,95
78,vitality,74
78,magic,92
78,spirit,86
78,dexterity,55
79,strength,96
79,vitality,74
79,magic,92
79,spirit,86
79,dexterity,56
80,strength,97
80,vitality,74
80,magic,92
80,spirit,86
80,dexterity,56
81,strength,97
81,vitality,76
81,magic,94
81,spirit,87
81,dexterity,56
82,strength,98
82,vitality,77
82,magic,96
82,spirit,87
82,dexterity,56
83,strength,98
83,vitality,77
83,magic,96
83,spirit,90
83,dexterity,56
84,strength,98
84,vitality,77
84,magic,97
84,spirit,91
84,dexterity,56
85,strength,99
85,vitality,77
85,magic,97
85,spirit,91
85,dexterity,56
86,strength,99
86,vitality,78
86,magic,97
86,spirit,91
86,dexterity,57
87,strength,99
87,vitality,79
87,magic,98
87,spirit,93
87,dexterity,58
88,strength,99
88,vitality,81
88,magic,98
88,spirit,94
88,dexterity,58
89,strength,99
89,vitality,81
89,magic,98
89,spirit,94
89,dexterity,58
90,strength,100
90,vitality,84
90,magic,98
90,spirit,94
90,dexterity,59
91,strength,101
91,vitality,86
91,magic,99
91,spirit,95
91,dexterity,60
92,strength,101
92,vitality,87
92,magic,99
92,spirit,96
92,dexterity,60
93,strength,101
93,vitality,89
93,magic,99
93,spirit,96
93,dexterity,61
94,strength,101
94,vitality,89
94,magic,99
94,spirit,96
94,dexterity,61
95,strength,101
95,vitality,89
95,magic,101
95,spirit,96
95,dexterity,62
96,strength,101
96,vitality,90
96,magic,101
96,spirit,96
96,dexterity,62
97,strength,101
97,vitality,91
97,magic,101
97,spirit,96
97,dexterity,62
98,strength,101
98,vitality,91
98,magic,101
98,spirit,96
98,dexterity,62
99,strength,101
99,vitality,92
99,magic,102
99,spirit,97
99,dexterity,62
