level,name,value
52,dexterity,55
53,strength,64
53,vitality,64
53,magic,66
53,spirit,67
53,dexterity,55
54,strength,66
54,vitality,65
54,magic,66
54,spirit,67
54,dexterity,56
55,strength,68
55,vitality,65
55,magic,68
55,spirit,69
55,dexterity,56
56,strength,69
56,vitality,67
56,magic,68
56,spirit,70
56,dexterity,56
57,strength,72
57,vitality,68
57,magic,69
57,spirit,70
57,dexterity,57
58,strength,73
58,vitality,69
58,magic,69
58,spirit,70
58,dexterity,59
59,strength,74
59,vitality,69
59,magic,69
59,spirit,71
59,dexterity,59
60,strength,75
60,vitality,70
60,magic,69
60,spirit,72
60,dexterity,59
61,strength,75
61,vitality,70
61,magic,69
61,spirit,74
61,dexterity,59
62,strength,76
62,vitality,70
62,magic,71
62,spirit,75
62,dexterity,60
63,strength,76
63,vitality,71
63,magic,71
63,spirit,76
63,dexterity,60
64,strength,77
64,vitality,71
64,magic,73
64,spirit,76
64,dexterity,60
65,strength,78
65,vitality,71
65,magic,73
65,spirit,77
65,dexterity,61
66,strength,79
66,vitality,72
66,magic,73
66,spirit,78
66,dexterity,61
67,strength,79
67,vitality,73
67,magic,74
67,spirit,78
67,dexterity,61
68,strength,80
68,vitality,74
68,magic,75
68,spirit,79
68,dexterity,61
69,strength,80
69,vitality,74
69,magic,75
69,spirit,81
69,dexterity,61
70,strength,80
70,vitality,74
70,magic,75
70,spirit,82
70,dexterity,61
71,strength,82
71,vitality,74
71,magic,76
71,spirit,83
71,dexterity,61
72,strength,83
72,vitality,74
72,magic,77
72,spirit,84
72,dexterity,61
73,strength,84
73,vitality,74
73,magic,78
73,spirit,84
73,dexterity,61
74,strength,85
74,vitality,74
74,magic,79
74,spirit,84
74,dexterity,63
75,strength,85
75,vitality,75
75,magic,79
75,spirit,85
75,dexterity,63
76,strength,85
76,vitality,75
76,magic,79
76,spirit,85
76,dexterity,64
77,strength,85
77,vitality,76
77,magic,79
77,spirit,86
77,dexterity,64
78,strength,85
78,vitality,76
78,magic,79
78,spirit,87
78,dexterity,65
79,strength,85
79,vitality,76
79,magic,79
79,spirit,88
79,dexterity,66
80,strength,85
80,vitality,76
80,magic,80
80,spirit,88
80,dexterity,66
81,strength,85
81,vitality,76
81,magic,80
81,spirit,88
81,dexterity,66
82,strength,85
82,vitality,77
82,magic,80
82,spirit,88
82,dexterity,66
83,strength,86
83,vitality,77
83,magic,81
83,spirit,88
83,dexterity,66
84,strength,87
84,vitality,77
84,magic,81
84,spirit,89
84,dexterity,66
85,strength,88
85,vitality,78
85,magic,81
85,spirit,89
85,dexterity,66
86,strength,89
86,vitality,79
86,magic,82
86,spirit,89
86,dexterity,66
87,strength,89
87,vitality,79
87,magic,82
87,spirit,89
87,dexterity,66
88,strength,90
88,vitality,79
88,magic,83
88,spirit,89
88,dexterity,67
89,strength,90
89,vitality,79
89,magic,83
89,spirit,89
89,dexterity,67
90,strength,90
90,vitality,80
90,magic,83
90,spirit,90
90,dexterity,68
91,strength,91
91,vitality,80
91,magic,83
91,spirit,90
91,dexterity,68
92,strength,91
92,vitality,81
92,magic,83
92,spirit,90
92,dexterity,68
93,strength,91
93,vitality,82
93,magic,83
93,spirit,90
93,dexterity,68
94,strength,91
94,vitality,82
94,magic,85
94,spirit,91
94,dexterity,68
95,strength,92
95,vitality,82
95,magic,85
95,spirit,91
95,dexterity,68
96,strength,92
96,vitality,82
96,magic,86
96,spirit,92
96,dexterity,68
97,strength,93
97,vitality,82
97,magic,86
97,spirit,92
97,dexterity,68
98,strength,93
98,vitality,82
98,magic,86
98,spirit,92
98,dexterity,69
99,strength,94
99,vitality,82
99,magic,87
99,spirit,92
99,dexterity,69
